id,name,category,price,originalPrice,discount,image,rating,reviews,brand,stock,description
1,iPhone 15 Pro Max,Smartphones,1199,1399,14,https://images.unsplash.com/photo-1696446701796-da61225697cc?w=400,4.8,2841,Apple,45,Latest flagship iPhone with advanced camera
2,Samsung Galaxy S24 Ultra,Smartphones,1299,1499,13,https://images.unsplash.com/photo-1707064406087-0b6167812739?w=400,4.7,3142,Samsung,38,Cutting-edge Samsung flagship with S Pen
3,iPhone 15,Smartphones,899,999,10,https://images.unsplash.com/photo-1696446701796-da61225697cc?w=400,4.6,2456,Apple,52,Standard iPhone 15 with A17 Pro chip
4,Samsung Galaxy A54,Smartphones,449,599,25,https://images.unsplash.com/photo-1707064406087-0b6167812739?w=400,4.5,1876,Samsung,68,Mid-range Samsung with great battery
5,OnePlus 12,Smartphones,649,799,19,https://images.unsplash.com/photo-1711200383120-f1395c808f9c?w=400,4.6,2134,OnePlus,41,Fast charging phone with clean OS
6,Google Pixel 8 Pro,Smartphones,899,999,10,https://images.unsplash.com/photo-1696602359489-09f485750d94?w=400,4.7,2987,Google,35,AI-powered Pixel with best camera
7,Xiaomi 14 Ultra,Smartphones,999,1199,17,https://images.unsplash.com/photo-1696446701796-da61225697cc?w=400,4.6,1654,Xiaomi,29,Premium Xiaomi with Leica camera
8,Motorola Edge 50 Pro,Smartphones,749,899,17,https://images.unsplash.com/photo-1598327105666-5b89351aff97?w=400,4.5,1432,Motorola,44,Stock Android with good specs
9,Nothing Phone 2a,Smartphones,449,599,25,https://images.unsplash.com/photo-1688649102473-099b9d16aa32?w=400,4.4,987,Nothing,56,Transparent design with value pricing
10,OPPO Find X7,Smartphones,899,1099,18,https://images.unsplash.com/photo-1696602359489-09f485750d94?w=400,4.5,1543,OPPO,38,Innovative OPPO flagship
11,MacBook Pro 16 M3 Max,Laptops,3499,3999,12,https://images.unsplash.com/photo-1517336714467-d23663d77291?w=400,4.9,3254,Apple,22,Powerful creative laptop
12,MacBook Pro 14 M3,Laptops,1999,2299,13,https://images.unsplash.com/photo-1517336714467-d23663d77291?w=400,4.8,2876,Apple,28,Portable and powerful
13,Dell XPS 13,Laptops,1299,1499,13,https://images.unsplash.com/photo-1593642632823-8f785ba67e45?w=400,4.7,2341,Dell,35,Compact and efficient
14,HP Pavilion 15,Laptops,749,899,17,https://images.unsplash.com/photo-1544006659-f0b21f04cb1d?w=400,4.5,1876,HP,48,Budget-friendly daily driver
15,Lenovo Legion Pro 7,Laptops,2199,2599,15,https://images.unsplash.com/photo-1525547719571-a2d4ac8945e2?w=400,4.6,1654,Lenovo,19,Gaming powerhouse
16,Asus VivoBook 16,Laptops,899,1099,18,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?w=400,4.5,1432,Asus,42,Large screen budget laptop
17,Microsoft Surface Laptop 5,Laptops,1299,1499,13,https://images.unsplash.com/photo-1611186871348-b1ec696e52c9?w=400,4.7,2145,Microsoft,26,Sleek and productive
18,Razer Blade 16,Laptops,2999,3499,14,https://images.unsplash.com/photo-1522199755839-a2bacb67c546?w=400,4.8,987,Razer,13,Ultimate gaming laptop
19,Samsung Galaxy Book4,Laptops,1199,1399,14,https://images.unsplash.com/photo-1541807084-5c52b6b3adef?w=400,4.6,1543,Samsung,31,Balanced performance and design
20,Google Pixelbook Go,Laptops,999,1199,17,https://images.unsplash.com/photo-1580522154071-c6ca47a859ad?w=400,4.5,876,Google,24,Lightweight Chromebook
21,Sony WH-1000XM5,Headphones,399,479,17,https://images.unsplash.com/photo-1505740420928-5c5597c6d9a0?w=400,4.9,4123,Sony,67,Best noise canceling
22,Bose QuietComfort 45,Headphones,329,399,18,https://images.unsplash.com/photo-1484704849700-f032a568e944?w=400,4.8,3456,Bose,54,Comfortable and quiet
